Age,Weak Foot,Skill Moves,Height,Weight,SlidingTackle,HeadingAccuracy,Dribbling,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,Jumping,Stamina,Strength,Aggression,Interceptions,Positioning,Penalties,Composure,Marking,StandingTackle,shooting_attributes,passing_attribtes,Left,Right,Overall,Value,Potential,Wage
23,4,2,186.4,79,82,80,59,67,70,73,48,81,48,78,77,83,86,86,30,56,80,92,88,37.66666667,58.75,0,1,85,46500000,92,82000
23,4,4,188.64,76,72,86,86,87,68,70,66,80,59,85,85,88,73,78,79,56,82,75,77,78.33333333,79.75,0,1,85,50500000,90,73000
22,3,4,181.92,76,39,50,86,85,85,82,79,82,76,58,76,61,45,45,82,62,83,40,42,82.33333333,82.75,1,0,85,54000000,92,215000
24,3,4,169.52,74,25,49,90,89,79,79,90,80,91,69,80,82,73,28,81,81,89,31,37,80.83333333,80.5,1,0,85,50000000,89,92000
25,3,1,188.64,91,16,19,27,30,54,45,40,84,37,52,32,78,27,11,13,23,65,15,19,17.5,43,0,1,85,36500000,90,115000
23,4,3,171.76,69,79,74,80,85,78,68,84,85,83,79,85,65,74,79,80,44,82,75,81,68.83333333,83.5,0,1,85,40500000,88,92000
23,4,3,181.92,77,76,83,83,85,74,73,76,82,69,79,86,77,69,78,82,55,83,77,79,73.83333333,79.75,1,0,85,50500000,90,77000
27,4,5,174,67,18,48,91,90,88,83,93,77,88,61,76,54,48,39,80,73,86,45,31,79,80,1,0,85,40500000,85,205000
26,4,3,176.24,76,80,75,79,83,79,86,79,84,77,82,87,71,69,84,76,80,79,80,82,76.33333333,80,1,0,85,38000000,87,110000
26,4,3,171.76,73,51,61,82,86,71,68,74,85,78,61,90,79,71,66,84,59,78,80,69,75.66666667,88,0,1,85,45000000,86,88000
27,4,4,171.76,73,30,73,85,83,81,84,85,85,85,76,79,73,70,42,86,84,85,29,42,78.66666667,69.75,0,1,85,45000000,86,180000
27,2,2,186.4,83,89,80,54,65,80,85,68,85,59,86,76,82,86,86,25,26,79,86,87,19.66666667,42.5,0,1,85,37500000,87,96000
30,3,2,181.92,81,84,85,51,70,57,61,64,79,62,92,67,80,91,84,51,45,80,83,85,54.16666667,63,0,1,85,28500000,85,170000
29,4,3,181.92,73,60,61,78,84,51,43,66,78,72,51,78,72,58,81,81,83,78,69,68,81.66666667,86.75,0,1,85,37000000,85,66000
29,3,3,181.92,71,73,85,82,84,73,73,69,84,66,90,92,81,81,81,84,71,80,75,81,76.16666667,76.5,0,1,85,37000000,85,235000
28,3,1,193.12,89,12,16,11,22,51,47,55,82,51,71,45,65,40,15,14,18,65,20,13,14.16666667,32,0,1,85,32000000,87,125000
29,3,4,167.28,73,35,73,87,86,86,79,90,83,87,87,83,72,79,46,84,77,84,38,44,80.83333333,77.75,0,1,85,37500000,85,215000
28,3,4,171.76,66,25,46,93,86,87,75,92,84,87,72,85,49,46,38,83,75,90,51,36,76,77.25,0,1,85,39000000,85,28000
29,4,2,190.88,89,87,85,64,70,67,72,56,82,52,74,69,91,81,81,47,46,84,84,87,51,75.5,0,1,85,30000000,85,115000
31,4,3,176.24,74,86,82,76,82,60,55,74,84,75,85,83,79,93,84,80,81,81,82,87,78,79.5,0,1,85,26000000,85,205000
29,5,4,184.16,79,54,80,84,85,84,88,78,81,74,84,89,78,65,69,85,76,80,64,52,78.5,80,0,1,85,37500000,85,110000
32,5,2,190.88,83,16,84,76,84,65,66,57,83,36,66,76,80,51,50,89,67,83,58,28,75,71.5,0,1,85,30500000,85,115000
31,4,2,186.4,89,76,76,81,84,54,60,55,87,54,68,78,87,82,86,79,69,84,80,83,74.33333333,80.25,0,1,85,33000000,85,160000
29,4,2,186.4,86,34,82,77,83,74,76,58,85,53,64,76,92,93,40,87,75,83,58,39,74.33333333,64,0,1,85,38500000,85,100000
30,3,3,171.76,77,90,59,80,85,78,73,76,87,82,76,93,77,88,86,86,63,84,83,86,76.83333333,78.5,0,1,85,35500000,85,105000
35,4,2,195.36,91,85,94,60,68,60,65,46,85,36,45,61,83,72,83,53,60,84,86,88,69.83333333,62.5,0,1,85,9000000,85,38000
31,2,2,176.24,74,86,68,78,79,79,77,83,84,79,84,94,76,86,86,72,56,82,85,84,66.83333333,77.75,1,0,85,26000000,85,145000
33,3,2,184.16,78,85,80,67,73,66,69,61,81,57,82,65,79,83,85,43,49,81,90,90,46,61.25,0,1,85,15500000,85,96000
30,4,4,184.16,81,12,80,83,86,76,76,76,83,66,73,75,80,65,22,86,82,79,47,15,78.5,76.25,0,1,85,37000000,85,240000
32,3,3,181.92,73,86,72,77,83,76,75,75,85,62,71,89,74,81,84,71,65,88,78,84,65.83333333,78.25,1,0,85,21500000,85,81000
32,3,2,188.64,84,84,84,63,70,52,59,57,87,41,72,66,87,87,82,41,63,81,87,85,55.66666667,64.75,0,1,85,22000000,85,170000
35,3,2,186.4,81,82,80,58,62,65,70,63,83,49,76,60,86,94,85,40,57,79,86,85,46.5,56.25,0,1,85,9000000,85,57000
36,4,5,193.12,94,24,83,79,84,58,59,75,82,39,68,61,86,84,20,85,89,90,28,37,84.66666667,76,0,1,85,14000000,85,15000
22,3,2,186.4,78,88,80,63,73,72,79,60,80,55,73,76,83,87,82,34,44,75,84,85,39.16666667,57.25,0,1,84,34000000,88,105000
23,3,2,184.16,79,87,81,47,56,69,70,56,76,43,92,67,85,89,85,24,38,73,88,86,44.5,50,0,1,84,34000000,88,63000
25,2,3,176.24,71,79,74,82,82,84,85,73,83,70,81,92,68,78,80,76,68,80,80,81,75.5,83,1,0,84,32000000,87,22000
24,3,2,186.4,84,87,85,59,73,62,66,45,83,55,75,67,82,75,85,54,44,77,85,86,55,67.25,1,0,84,34000000,88,135000
23,3,4,174,68,53,58,83,85,79,76,77,84,78,72,89,67,65,70,79,81,83,63,66,83,84.25,0,1,84,40500000,88,22000
22,3,2,193.12,97,83,86,42,63,52,84,33,79,33,38,65,94,82,82,26,32,72,82,85,41.33333333,50.25,0,1,84,36500000,90,84000
22,3,4,181.92,76,36,69,87,86,88,89,85,81,81,74,75,75,58,42,83,81,79,38,39,76.66666667,71.5,0,1,84,42500000,90,165000
22,3,4,186.4,79,63,77,83,85,73,76,76,85,62,67,90,71,84,74,86,74,86,70,70,77.16666667,79.75,0,1,84,42500000,90,115000
24,2,3,186.4,78,84,75,76,82,69,72,69,83,67,75,92,79,85,84,70,91,84,83,86,63.33333333,78.75,0,1,84,34000000,88,120000
24,3,2,181.92,74,87,80,59,76,73,76,69,81,68,86,75,74,80,84,46,31,79,85,87,38.83333333,70.5,0,1,84,35500000,89,90000
26,4,3,186.4,83,68,73,80,79,49,53,51,75,51,69,84,90,75,84,64,60,89,84,85,57.5,80.25,0,1,84,31500000,86,38000
26,3,3,176.24,67,70,56,82,85,75,69,80,83,73,58,79,66,79,78,72,84,79,63,78,68.66666667,84.5,0,1,84,38000000,87,155000
25,3,4,174,69,31,75,85,86,87,80,86,83,71,76,83,66,56,42,83,74,82,46,29,79.66666667,80.5,1,0,84,39000000,87,72000
26,3,3,169.52,73,85,70,76,83,79,84,81,82,79,76,84,74,81,83,61,45,77,83,83,49,73,0,1,84,31500000,87,185000
24,3,5,171.76,78,20,65,85,85,87,87,82,79,79,74,79,80,76,28,83,75,79,29,31,82.33333333,78.75,0,1,84,42000000,89,93000
25,5,4,181.92,64,33,65,88,85,88,87,82,84,76,63,85,63,60,39,85,71,82,48,34,81.5,75.25,0,1,84,37000000,85,125000
27,2,1,181.92,81,13,16,15,21,63,64,67,84,62,82,36,73,43,25,9,16,65,13,15,16.33333333,32.5,1,0,84,25000000,86,72000
26,4,2,186.4,78,83,80,63,71,67,69,61,80,59,76,66,80,78,87,32,41,82,88,87,39.66666667,62.5,0,1,84,31500000,86,88000
25,3,1,186.4,77,19,12,19,23,57,56,70,79,30,75,30,52,25,19,12,21,65,20,12,16.33333333,29.75,0,1,84,29500000,89,105000
30,3,5,174,72,74,58,90,85,89,93,91,80,82,75,78,61,78,62,78,65,80,63,70,74.66666667,76.25,0,1,84,29500000,84,150000
30,3,3,171.76,67,18,78,86,85,85,78,87,85,74,68,75,60,63,39,86,82,85,39,21,81.33333333,74.5,1,0,84,30000000,84,45000
26,4,1,188.64,83,18,13,16,22,46,52,52,80,44,73,43,68,28,22,7,23,66,27,15,12.16666667,37,0,1,84,27000000,87,115000
29,3,3,190.88,84,75,74,80,79,52,59,44,83,50,67,84,85,80,86,69,64,84,83,84,72.33333333,77.75,1,0,84,24000000,84,165000
28,3,1,190.88,84,13,11,10,20,38,44,43,83,39,69,34,55,31,18,9,20,48,10,10,12.33333333,24.75,0,1,84,22000000,84,74000
28,3,4,174,74,80,51,78,83,66,57,71,84,75,63,77,68,76,87,79,50,79,69,83,69.83333333,80.5,0,1,84,31000000,84,51000
28,2,2,181.92,69,83,74,79,78,86,93,67,83,72,83,89,75,78,81,67,63,75,78,84,68.33333333,73.75,0,1,84,24500000,84,165000
27,4,4,176.24,79,64,50,85,86,67,68,78,85,78,61,69,72,70,77,79,76,87,73,68,75.5,82.75,0,1,84,32000000,84,175000
31,3,3,174,73,32,65,82,85,88,89,85,82,80,73,91,55,54,40,88,62,79,64,32,76.33333333,72.75,0,1,84,27500000,84,105000
30,2,5,176.24,68,56,51,86,85,85,84,92,80,77,72,73,60,73,38,82,73,82,35,59,79.16666667,81.5,1,0,84,29500000,84,125000
32,3,3,188.64,84,64,90,76,77,67,73,67,86,53,85,83,85,88,66,90,76,80,59,64,70.5,72,0,1,84,25000000,84,160000
29,4,4,171.76,78,51,31,88,84,91,86,89,82,79,41,85,60,44,55,80,70,79,43,57,76.83333333,79,0,1,84,30500000,84,175000
29,3,1,186.4,87,14,13,15,14,59,54,62,79,58,73,41,73,20,22,12,15,64,24,15,18.5,37,0,1,84,24000000,85,42000
30,4,4,171.76,71,64,49,84,86,68,64,79,77,83,57,74,67,73,76,75,78,80,75,69,74.5,85.75,0,1,84,29000000,84,31000
29,4,4,186.4,81,85,80,78,84,67,74,78,84,60,76,86,82,82,80,75,81,89,80,79,72.83333333,79,0,1,84,24000000,84,77000
31,4,4,171.76,77,39,59,86,90,75,72,79,75,80,48,73,72,57,37,79,74,82,32,36,81.83333333,84.5,0,1,84,27500000,84,75000
34,5,3,176.24,73,25,84,84,88,65,64,77,85,69,69,66,63,61,34,87,84,87,31,36,84,76,0,1,84,16500000,84,25000
30,2,2,184.16,84,85,85,58,58,64,73,60,81,64,86,69,86,88,77,49,24,82,85,87,46.5,50.75,0,1,84,23000000,84,140000
31,3,1,186.4,93,11,12,12,15,45,50,51,78,55,72,37,76,31,25,12,25,66,13,12,14.16666667,31.75,0,1,84,19000000,84,41000
32,4,3,174,72,19,89,75,82,69,66,76,85,75,91,68,75,75,41,88,81,87,39,42,80.83333333,65.5,0,1,84,25000000,84,115000
31,3,1,186.4,88,13,16,12,40,59,60,62,81,47,60,34,64,35,20,13,26,67,14,14,17.5,41.75,0,1,84,19000000,84,78000
32,3,2,188.64,82,85,77,59,71,54,53,53,82,56,77,55,82,81,86,30,37,75,89,87,45.66666667,60.25,0,1,84,18000000,84,88000
30,4,4,162.8,68,34,38,89,87,94,86,92,83,94,70,75,48,56,40,81,72,84,50,30,76.83333333,80.75,0,1,84,30000000,84,53000
37,3,2,186.4,87,82,72,64,65,61,77,52,80,64,81,53,83,66,90,28,60,88,94,90,38.33333333,58,0,1,84,4200000,84,95000
34,4,5,171.76,67,13,41,89,88,84,82,91,78,84,63,65,55,74,24,78,74,80,29,17,78.83333333,82.5,0,1,84,15500000,84,80000
34,2,4,176.24,79,26,51,89,88,83,76,87,85,90,60,64,67,47,37,84,78,85,30,26,85.66666667,78.25,1,0,84,15500000,84,110000
21,5,4,174,67,33,43,90,83,93,92,90,82,85,59,73,46,54,36,79,75,75,42,30,74.83333333,77.5,1,0,83,40000000,92,155000
21,3,4,171.76,73,19,74,86,85,87,85,92,86,91,77,84,68,73,32,88,78,82,53,23,72.83333333,71.25,0,1,83,41000000,92,130000
26,4,4,174,74,33,64,85,83,88,87,85,84,76,64,86,70,62,40,82,77,81,24,35,79,82.75,0,1,83,28000000,83,51000
26,3,2,184.16,79,82,83,56,70,83,78,77,85,68,69,76,73,88,84,38,56,71,85,87,45,54.25,0,1,83,22500000,83,43000
26,3,4,186.4,83,24,83,75,74,79,83,55,84,55,84,56,87,65,32,83,77,79,26,27,76.66666667,58.5,0,1,83,28500000,83,60000
22,3,3,186.4,79,83,79,58,78,75,78,74,79,65,77,80,84,85,83,39,50,80,80,83,40,69,1,0,83,30500000,89,82000
23,4,4,169.52,63,61,42,88,88,78,60,89,82,90,53,82,58,78,75,74,58,79,68,62,71.33333333,77.25,0,1,83,34000000,88,120000
23,3,3,176.24,81,71,82,77,81,75,66,75,83,74,90,87,77,81,76,79,70,74,75,78,73.16666667,79.25,0,1,83,34000000,88,85000
22,2,4,167.28,62,63,54,85,86,86,84,87,80,86,71,79,63,63,66,77,68,80,55,59,79,81.75,1,0,83,35500000,89,64000
22,3,5,174,71,15,52,88,83,95,93,87,81,84,75,76,61,36,23,79,70,75,29,17,76.16666667,74,0,1,83,34000000,87,85000
22,4,2,193.12,97,84,80,55,64,64,77,48,82,44,72,63,93,76,80,27,38,75,80,88,28.33333333,59.75,0,1,83,29500000,88,67000
24,4,4,188.64,79,42,77,82,84,77,76,76,79,65,58,76,72,67,58,86,71,74,55,62,83.5,79.75,1,0,83,36500000,90,18000
22,4,3,176.24,74,19,76,83,84,93,93,81,86,76,78,83,59,63,37,85,72,74,39,20,71.33333333,65.5,0,1,83,34500000,87,70000
23,3,3,190.88,79,75,77,79,83,73,74,79,83,72,73,82,80,76,80,76,69,82,70,81,72,79.5,1,0,83,33000000,87,91000
23,4,3,186.4,78,78,75,81,83,84,79,76,83,70,67,86,70,80,83,77,60,80,70,79,74.33333333,80,0,1,83,34000000,88,85000
26,4,5,171.76,72,32,60,84,82,90,91,87,82,79,82,83,61,60,33,79,74,78,36,30,78.5,77.75,0,1,83,30500000,84,28000
25,2,4,176.24,64,36,53,83,83,76,74,85,82,78,38,86,59,71,62,75,73,83,52,66,78,86.75,1,0,83,32500000,86,28000
27,4,4,169.52,69,44,52,82,83,84,79,79,85,84,68,90,57,65,44,81,56,75,42,50,74.33333333,81.75,0,1,83,27000000,83,205000
24,4,4,176.24,73,26,53,88,87,89,87,88,83,71,68,74,59,61,18,81,74,75,58,39,77.5,74.25,0,1,83,33000000,86,20000
26,4,4,176.24,77,41,80,78,81,77,80,70,82,69,72,72,74,55,40,83,73,72,43,41,74.5,63.25,1,0,83,32000000,85,53000
29,3,2,188.64,86,79,81,57,62,60,67,52,77,57,90,78,86,92,81,34,47,75,85,85,38.66666667,59,0,1,83,20000000,83,22000
24,4,4,171.76,78,63,42,88,89,84,74,81,70,85,63,82,65,77,78,69,59,72,69,75,73,82.5,0,1,83,35000000,89,165000
23,4,1,184.16,84,16,17,10,16,34,33,41,79,39,71,37,51,18,21,15,24,63,19,18,18.66666667,37,0,1,83,28500000,91,84000
26,4,4,174,74,60,74,80,83,68,65,76,82,72,77,77,63,71,69,77,65,73,70,73,74,81.25,0,1,83,30000000,84,49000
22,4,4,171.76,74,45,46,87,83,92,90,87,80,88,64,68,68,63,38,80,68,74,45,48,76,73.75,0,1,83,34500000,88,85000
24,4,1,184.16,77,12,15,14,40,53,44,55,83,55,72,45,70,30,24,18,41,69,16,20,19.5,48.75,1,0,83,25000000,88,78000
27,3,2,186.4,78,84,85,47,68,55,61,61,82,49,87,58,77,83,84,29,37,75,86,83,32.83333333,54.25,0,1,83,26000000,86,67000
24,4,3,186.4,69,82,83,69,80,67,71,61,82,59,75,79,77,79,81,48,44,80,85,85,36,71,0,1,83,28500000,87,125000
24,3,4,171.76,69,18,50,88,89,83,77,86,78,84,50,77,56,23,20,76,72,76,50,23,79,82.25,1,0,83,33000000,86,115000
24,5,4,186.4,77,44,65,88,89,78,77,80,83,75,75,69,66,48,66,79,63,83,39,64,80.66666667,82.5,0,1,83,32500000,86,91000
25,4,4,171.76,69,54,44,90,88,93,89,89,74,88,38,72,53,67,69,73,53,82,47,60,74.33333333,78,0,1,83,31500000,85,110000
